,website_title,all_urls,all_paragraphs
0,Beautiful Soup Documentation — Beautiful Soup 4.13.0 documentation,http://www.crummy.com/software/BeautifulSoup/,"Beautiful Soup is a
Python library for pulling data out of HTML and XML files. It works
with your favorite parser to provide idiomatic ways of navigating,
searching, and modifying the parse tree. It commonly saves programmers
hours or days of work."
1,,http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html,"These instructions illustrate all major features of Beautiful Soup 4,
with examples. I show you what the library is good for, how it works,
how to use it, how to make it do what you want, and what to do when it
violates your expectations."
2,,https://www.crummy.com/software/BeautifulSoup/bs4/doc.zh/,"This document covers Beautiful Soup version 4.13.3. The examples in
this documentation were written for Python 3.8."
3,,http://kondou.com/BS4/,"You might be looking for the documentation for Beautiful Soup 3.
If so, you should know that Beautiful Soup 3 is no longer being
developed and that all support for it was dropped on December
31, 2020. If you want to learn about the differences between Beautiful
Soup 3 and Beautiful Soup 4, see Porting code to BS4."
4,,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ko/,"This documentation has been translated into other languages by
Beautiful Soup users:"
5,,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ptbr,这篇文档当然还有中文版.
6,,https://www.crummy.com/software/BeautifulSoup/bs4/doc.es/,このページは日本語で利用できます(外部リンク)
7,,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ru/,이 문서는 한국어 번역도 가능합니다.
8,,https://groups.google.com/forum/?fromgroups#!forum/beautifulsoup,Este documento também está disponível em Português do Brasil.
9,,http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html,Este documento también está disponible en una traducción al español.
10,,http://www.crummy.com/software/BeautifulSoup/download/4.x/,Эта документация доступна на русском языке.
11,,http://lxml.de/,"If you have questions about Beautiful Soup, or run into problems,
send mail to the discussion group. If
your problem involves parsing an HTML document, be sure to mention
what the diagnose() function says about
that document."
12,,http://code.google.com/p/html5lib/,"When reporting an error in this documentation, please mention which
translation you're reading."
13,,https://www.w3.org/TR/REC-xml/#sec-prolog-dtd,"This document is written like an instruction manual, but you can also read
traditional API documentation
generated from the Beautiful Soup source code. If you want details
about Beautiful Soup's internals, or a feature not covered in this
document, try the API documentation."
14,,https://www.w3.org/TR/REC-xml/#dt-doctype,"Here's an HTML document I'll be using as an example throughout this
document. It's part of a story from Alice in Wonderland:"
15,,https://www.w3.org/TR/REC-xml/#sec-cdata-sect,"Running the ""three sisters"" document through Beautiful Soup gives us a
BeautifulSoup object, which represents the document as a nested
data structure:"
16,,https://www.w3.org/TR/REC-xml/#sec-pi,Here are some simple ways to navigate that data structure:
17,,https://facelessuser.github.io/soupsieve/,One common task is extracting all the URLs found within a page's <a> tags:
18,,https://facelessuser.github.io/soupsieve/selectors/,Another common task is extracting all the text from a page:
19,,https://facelessuser.github.io/soupsieve/,"Does this look like what you need? If so, read on."
20,,http://www.w3.org/TR/html5/syntax.html#syntax,"If you're using a recent version of Debian or Ubuntu Linux, you can
install Beautiful Soup with the system package manager:"
21,,http://wiki.python.org/moin/PrintFails,$ apt-get install python3-bs4
22,,http://lxml.de/,"Beautiful Soup 4 is published through PyPi, so if you can't install it
with the system packager, you can install it with easy_install or
pip. The package name is beautifulsoup4. Make sure you use the
right version of pip or easy_install for your Python version
(these may be named pip3 and easy_install3 respectively)."
23,,http://pypi.python.org/pypi/cchardet/,$ easy_install beautifulsoup4
24,,https://www.crummy.com/software/BeautifulSoup/download/3.x/BeautifulSoup-3.2.2.tar.gz,$ pip install beautifulsoup4
25,,http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html,"(The BeautifulSoup package is not what you want. That's
the previous major release, Beautiful Soup 3. Lots of software uses
BS3, so it's still available, but if you're writing new code you
should install beautifulsoup4.)"
26,,http://www.python.org/dev/peps/pep-0008/,"If you don't have easy_install or pip installed, you can
download the Beautiful Soup 4 source tarball and
install it with setup.py."
27,,https://www.sphinx-doc.org/,$ python setup.py install
28,,https://alabaster.readthedocs.io,"If all else fails, the license for Beautiful Soup allows you to
package the entire library with your application. You can download the
tarball, copy its bs4 directory into your application's codebase,
and use Beautiful Soup without installing it at all."
29,,,"I use Python 3.10 to develop Beautiful Soup, but it should work with
other recent versions."
30,,,"Beautiful Soup supports the HTML parser included in Python's standard
library, but it also supports a number of third-party Python parsers.
One is the lxml parser. Depending on your setup,
you might install lxml with one of these commands:"
31,,,$ apt-get install python-lxml
32,,,$ easy_install lxml
33,,,$ pip install lxml
34,,,"Another alternative is the pure-Python html5lib parser, which parses HTML the way a
web browser does. Depending on your setup, you might install html5lib
with one of these commands:"
35,,,$ apt-get install python3-html5lib
36,,,$ pip install html5lib
37,,,This table summarizes the advantages and disadvantages of each parser library:
38,,,Parser
39,,,Typical usage
40,,,Advantages
41,,,Disadvantages
42,,,Python's html.parser
43,,,"BeautifulSoup(markup, ""html.parser"")"
44,,,Batteries included
45,,,Decent speed
46,,,"Not as fast as lxml,
less lenient than
html5lib."
47,,,lxml's HTML parser
48,,,"BeautifulSoup(markup, ""lxml"")"
49,,,Very fast
50,,,External C dependency
51,,,lxml's XML parser
52,,,"BeautifulSoup(markup, ""lxml-xml"")
BeautifulSoup(markup, ""xml"")"
53,,,Very fast
54,,,"The only currently supported
XML parser"
55,,,External C dependency
56,,,html5lib
57,,,"BeautifulSoup(markup, ""html5lib"")"
58,,,Extremely lenient
59,,,"Parses pages the same way a
web browser does"
60,,,Creates valid HTML5
61,,,Very slow
62,,,"External Python
dependency"
63,,,"If you can, I recommend you install and use lxml for speed."
64,,,"Note that if a document is invalid, different parsers will generate
different Beautiful Soup trees for it. See Differences
between parsers for details."
65,,,"To parse a document, pass it into the BeautifulSoup
constructor. You can pass in a string or an open filehandle:"
66,,,"First, the document is converted to Unicode, and HTML entities are
converted to Unicode characters:"
67,,,"Beautiful Soup then parses the document using the best available
parser. It will use an HTML parser unless you specifically tell it to
use an XML parser. (See Parsing XML.)"
68,,,"Beautiful Soup transforms a complex HTML document into a complex tree
of Python objects. But you'll only ever have to deal with about four
kinds of objects: Tag, NavigableString, BeautifulSoup,
and Comment. These objects represent the HTML elements
that comprise the page."
69,,,A Tag object corresponds to an XML or HTML tag in the original document.
70,,,"Tags have a lot of attributes and methods, and I'll cover most of them
in Navigating the tree and Searching the tree. For now, the most
important methods of a tag are for accessing its name and attributes."
71,,,Every tag has a name:
72,,,"If you change a tag's name, the change will be reflected in any
markup generated by Beautiful Soup down the line:"
73,,,"An HTML or XML tag may have any number of attributes. The tag <b
id=""boldest""> has an attribute ""id"" whose value is
""boldest"". You can access a tag's attributes by treating the tag like
a dictionary:"
74,,,You can access the dictionary of attributes directly as .attrs:
75,,,"You can add, remove, and modify a tag's attributes. Again, this is
done by treating the tag as a dictionary:"
76,,,"HTML 4 defines a few attributes that can have multiple values. HTML 5
removes a couple of them, but defines a few more. The most common
multi-valued attribute is class (that is, a tag can have more than
one CSS class). Others include rel, rev, accept-charset,
headers, and accesskey. By default, Beautiful Soup stores the value(s)
of a multi-valued attribute as a list:"
77,,,"When you turn a tag back into a string, the values of any multi-valued
attributes are consolidated:"
78,,,"If an attribute looks like it has more than one value, but it's not
a multi-valued attribute as defined by any version of the HTML
standard, Beautiful Soup stores it as a simple string:"
79,,,"You can force all attributes to be stored as strings by passing
multi_valued_attributes=None as a keyword argument into the
BeautifulSoup constructor:"
80,,,"You can use get_attribute_list to always return the value in a list
container, whether it's a string or multi-valued attribute value:"
81,,,"If you parse a document as XML, there are no multi-valued attributes:"
82,,,"Again, you can configure this using the multi_valued_attributes argument:"
83,,,"You probably won't need to do this, but if you do, use the defaults as
a guide. They implement the rules described in the HTML specification:"
84,,,"A tag can contain strings as pieces of text. Beautiful Soup
uses the NavigableString class to contain these pieces of text:"
85,,,"A NavigableString is just like a Python Unicode string, except
that it also supports some of the features described in Navigating
the tree and Searching the tree. You can convert a
NavigableString to a Unicode string with str:"
86,,,"You can't edit a string in place, but you can replace one string with
another, using replace_with():"
87,,,"NavigableString supports most of the features described in
Navigating the tree and Searching the tree, but not all of
them. In particular, since a string can't contain anything (the way a
tag may contain a string or another tag), strings don't support the
.contents or .string attributes, or the find() method."
88,,,"If you want to use a NavigableString outside of Beautiful Soup,
you should call unicode() on it to turn it into a normal Python
Unicode string. If you don't, your string will carry around a
reference to the entire Beautiful Soup parse tree, even when you're
done using Beautiful Soup. This is a big waste of memory."
89,,,"The BeautifulSoup object represents the parsed document as a
whole. For most purposes, you can treat it as a Tag
object. This means it supports most of the methods described in
Navigating the tree and Searching the tree."
90,,,"You can also pass a BeautifulSoup object into one of the methods
defined in Modifying the tree, just as you would a Tag. This
lets you do things like combine two parsed documents:"
91,,,"Since the BeautifulSoup object doesn't correspond to an actual
HTML or XML tag, it has no name and no attributes. But sometimes it's
useful to reference its .name (such as when writing code that works
with both Tag and BeautifulSoup objects),
so it's been given the special .name ""[document]"":"
92,,,"Tag, NavigableString, and
BeautifulSoup cover almost everything you'll see in an
HTML or XML file, but there are a few leftover bits. The main one
you'll probably encounter is the Comment."
93,,,The Comment object is just a special type of NavigableString:
94,,,"But when it appears as part of an HTML document, a Comment is
displayed with special formatting:"
95,,,"Beautiful Soup defines a few NavigableString subclasses to
contain strings found inside specific HTML tags. This makes it easier
to pick out the main body of the page, by ignoring strings that
probably represent programming directives found within the
page. (These classes are new in Beautiful Soup 4.9.0, and the
html5lib parser doesn't use them.)"
96,,,"A NavigableString subclass that represents embedded CSS
stylesheets; that is, any strings found inside a <style> tag
during document parsing."
97,,,"A NavigableString subclass that represents embedded
Javascript; that is, any strings found inside a <script> tag
during document parsing."
98,,,"A NavigableString subclass that represents embedded HTML
templates; that is, any strings found inside a <template> tag during
document parsing."
99,,,"Beautiful Soup defines some NavigableString classes for
holding special types of strings that can be found in XML
documents. Like Comment, these classes are subclasses of
NavigableString that add something extra to the string on
output."
100,,,"A NavigableString subclass representing the declaration at the beginning of
an XML document."
101,,,"A NavigableString subclass representing the document type
declaration which may
be found near the beginning of an XML document."
102,,,A NavigableString subclass that represents a CData section.
103,,,"A NavigableString subclass that represents the contents
of an XML processing instruction."
104,,,"Here's the ""Three sisters"" HTML document again:"
105,,,"I'll use this as an example to show you how to move from one part of
a document to another."
106,,,"Tags may contain strings and more tags. These elements are the tag's
children. Beautiful Soup provides a lot of different attributes for
navigating and iterating over a tag's children."
107,,,"Note that Beautiful Soup strings don't support any of these
attributes, because a string can't have children."
108,,,"The simplest way to navigate the parse tree is to find a tag by name. To
do this, you can use the find() method:"
109,,,"For convenience, just saying the name of the tag you want is equivalent
to find() (if no built-in attribute has that name). If you want the
<head> tag, just say soup.head:"
110,,,"You can use this trick again and again to zoom in on a certain part
of the parse tree. This code gets the first <b> tag beneath the <body> tag:"
111,,,"find() (and its convenience equivalent) gives you only the first tag
by that name:"
112,,,"If you need to get all the <a> tags, you can use find_all():"
113,,,"For more complicated tasks, such as pattern-matching and filtering, you can
use the methods described in Searching the tree."
114,,,A tag's children are available in a list called .contents:
115,,,"The BeautifulSoup object itself has children. In this case, the
<html> tag is the child of the BeautifulSoup object.:"
116,,,"A string does not have .contents, because it can't contain
anything:"
117,,,"Instead of getting them as a list, you can iterate over a tag's
children using the .children generator:"
118,,,"If you want to modify a tag's children, use the methods described in
Modifying the tree. Don't modify the the .contents list
directly: that can lead to problems that are subtle and difficult to
spot."
119,,,"The .contents and .children attributes consider only a tag's
direct children. For instance, the <head> tag has a single direct
child—the <title> tag:"
120,,,"But the <title> tag itself has a child: the string ""The Dormouse's
story"". There's a sense in which that string is also a child of the
<head> tag. The .descendants attribute lets you iterate over all
of a tag's children, recursively: its direct children, the children of
its direct children, and so on:"
121,,,"The <head> tag has only one child, but it has two descendants: the
<title> tag and the <title> tag's child. The BeautifulSoup object
only has one direct child (the <html> tag), but it has a whole lot of
descendants:"
122,,,"If a tag has only one child, and that child is a NavigableString,
the child is made available as .string:"
123,,,"If a tag's only child is another tag, and that tag has a
.string, then the parent tag is considered to have the same
.string as its child:"
124,,,"If a tag contains more than one thing, then it's not clear what
.string should refer to, so .string is defined to be
None:"
125,,,"If there's more than one thing inside a tag, you can still look at
just the strings. Use the .strings generator to see all descendant
strings:"
126,,,"Newlines and spaces that separate tags are also strings. You can remove extra
whitespace by using the .stripped_strings generator instead:"
127,,,"Here, strings consisting entirely of whitespace are ignored, and
whitespace at the beginning and end of strings is removed."
128,,,"Continuing the ""family tree"" analogy, every tag and every string has a
parent: the tag that contains it."
129,,,"You can access an element's parent with the .parent attribute. In
the example ""three sisters"" document, the <head> tag is the parent
of the <title> tag:"
130,,,"The title string itself has a parent: the <title> tag that contains
it:"
131,,,"The parent of a top-level tag like <html> is the BeautifulSoup object
itself:"
132,,,And the .parent of a BeautifulSoup object is defined as None:
133,,,"You can iterate over all of an element's parents with
.parents. This example uses .parents to travel from an <a> tag
buried deep within the document, to the very top of the document:"
134,,,"The .self_and_parents generator is a variant of .parents which
gives you the entire ancestry of an element, including the element
itself:"
135,,,Consider a simple document like this:
136,,,"The <b> tag and the <c> tag are at the same level: they're both direct
children of the same tag. We call them siblings. When a document is
pretty-printed, siblings show up at the same indentation level. You
can also use this relationship in the code you write."
137,,,"You can use .next_sibling and .previous_sibling to navigate
between page elements that are on the same level of the parse tree:"
138,,,"The <b> tag has a .next_sibling, but no .previous_sibling,
because there's nothing before the <b> tag on the same level of the
tree. For the same reason, the <c> tag has a .previous_sibling
but no .next_sibling:"
139,,,"The strings ""text1"" and ""text2"" are not siblings, because they don't
have the same parent:"
140,,,"In real documents, the .next_sibling or .previous_sibling of a
tag will usually be a string containing whitespace. Going back to the
""three sisters"" document:"
141,,,"You might think that the .next_sibling of the first <a> tag would
be the second <a> tag. But actually, it's a string: the comma and
newline that separate the first <a> tag from the second:"
142,,,The second <a> tag is then the .next_sibling of the comma string:
143,,,"You can iterate over a tag's siblings with .next_siblings or
.previous_siblings:"
144,,,"(If the argument syntax to find tags by their attribute value is unfamiliar,
don't worry; this is covered later in The keyword arguments.)"
145,,,"Take a look at the beginning of the ""three sisters"" document:"
146,,,"An HTML parser takes this string of characters and turns it into a
series of events: ""open an <html> tag"", ""open a <head> tag"", ""open a
<title> tag"", ""add a string"", ""close the <title> tag"", ""open a <p>
tag"", and so on. The order in which the opening tags and strings are
encountered is called document order. Beautiful Soup offers tools for
searching a document's elements in document order."
147,,,"The .next_element attribute of a string or tag points to whatever
was parsed immediately after the opening of the current tag or after
the current string. It might be the same as .next_sibling, but it's
usually drastically different."
148,,,"Here's the final <a> tag in the ""three sisters"" document. Its
.next_sibling is a string: the conclusion of the sentence that was
interrupted by the start of the <a> tag:"
149,,,"But the .next_element of that <a> tag, the thing that was parsed
immediately after the <a> tag, is not the rest of that sentence:
it's the string ""Tillie"" inside it:"
150,,,"That's because in the original markup, the word ""Tillie"" appeared
before that semicolon. The parser encountered an <a> tag, then the
word ""Tillie"", then the closing </a> tag, then the semicolon and rest of
the sentence. The semicolon is on the same level as the <a> tag, but the
word ""Tillie"" was encountered first."
151,,,"The .previous_element attribute is the exact opposite of
.next_element. It points to the opening tag or string that was
parsed immediately before this one:"
152,,,"You should get the idea by now. You can use these iterators to move
forward or backward in the document as it was parsed:"
153,,,"Beautiful Soup defines a lot of methods for searching the parse tree,
but they're all very similar. I'm going to spend a lot of time explaining
the two most popular methods: find() and find_all(). The other
methods take almost exactly the same arguments, so I'll just cover
them briefly."
154,,,"Once again, I'll be using the ""three sisters"" document as an example:"
155,,,"By passing in a filter to a method like find_all(), you can
zoom in on the parts of the document you're interested in."
156,,,"Before talking in detail about find_all() and similar methods, I
want to show examples of different filters you can pass into these
methods. These filters show up again and again, throughout the
search API. You can use them to filter based on a tag's name,
on its attributes, on the text of a string, or on some combination of
these."
157,,,"The simplest filter is a string. Pass a string to a search method and
Beautiful Soup will perform a tag-name match against that exact string.
This code finds all the <b> tags in the document:"
158,,,"If you pass in a byte string, Beautiful Soup will assume the string is
encoded as UTF-8. You can avoid this by passing in a Unicode string instead."
159,,,"If you pass in a regular expression object, Beautiful Soup will filter
against that regular expression using its search() method. This code
finds all the tags whose names start with the letter ""b""; in this
case, the <body> tag and the <b> tag:"
160,,,This code finds all the tags whose names contain the letter 't':
161,,,"The value True matches every tag it can. This code finds all
the tags in the document, but none of the text strings:"
162,,,"If none of the other matches work for you, define a function that
takes an element as its only argument. The function should return
True if the argument matches, and False otherwise."
163,,,"Here's a function that returns True if a tag defines the ""class""
attribute but doesn't define the ""id"" attribute:"
164,,,"Pass this function into find_all() and you'll pick up all the <p>
tags:"
165,,,"This function picks up only the <p> tags. It doesn't pick up the <a>
tags, because those tags define both ""class"" and ""id"". It doesn't pick
up tags like <html> and <title>, because those tags don't define
""class""."
166,,,"The function can be as complicated as you need it to be. Here's a
function that returns True if a tag is surrounded by string
objects:"
167,,,"If you pass in a list, Beautiful Soup will look for a match against
any string, regular expression, or function in that list. This
code finds all the <a> tags and all the <b> tags:"
168,,,Now we're ready to look at the search methods in detail.
169,,,"Method signature: find_all(name, attrs, recursive, string, limit, **kwargs)"
170,,,"The find_all() method looks through a tag's descendants and
retrieves all descendants that match your filters. I gave several
examples in Kinds of filters, but here are a few more:"
171,,,"Some of these should look familiar, but others are new. What does it
mean to pass in a value for string, or id? Why does
find_all(""p"", ""title"") find a <p> tag with the CSS class ""title""?
Let's look at the arguments to find_all()."
172,,,"Pass in a value for name and you'll tell Beautiful Soup to only
consider tags with certain names. Text strings will be ignored, as
will tags whose names that don't match."
173,,,This is the simplest usage:
174,,,"Recall from Kinds of filters that the value to name can be a
string, a regular expression, a list, a function, or the value
True."
175,,,"Any keyword argument that's not recognized will be turned into a filter
that matches tags by their attributes."
176,,,"If you pass in a value for an argument called id, Beautiful Soup will
filter against each tag's 'id' attribute value:"
177,,,"Just as with tags, you can filter an attribute based on a string,
a regular expression, a list, a function, or the value True."
178,,,"If you pass in a regular expression object for href, Beautiful Soup will
pattern-match against each tag's 'href' attribute value:"
179,,,"The value True matches every tag that defines the attribute. This code
finds all tags with an id attribute:"
180,,,"For more complex matches, you can define a function that takes an attribute
value as its only argument. The function should return True if the value
matches, and False otherwise."
181,,,"Here's a function that finds all a tags whose href attribute does not
match a regular expression:"
182,,,"If you pass in a list for an argument, Beautiful Soup will look for an
attribute-value match against any string, regular expression, or function in
that list. This code finds the first and last link:"
